1,86.32817131776447,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:BRAYCURTIS,DESCRY_K - 6.4444447,DESCRY_DENSITY - 10.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 6.4444447,DESCRY_DENSITY - 10.0],}
86,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
87,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
88,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
89,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
90,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
91,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
92,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
93,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
94,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
95,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
96,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
97,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
98,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
99,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
100,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
101,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
102,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
103,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
104,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
105,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
106,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
107,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
108,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
109,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
110,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
111,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
112,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
113,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
114,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
115,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
116,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
117,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
118,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
119,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
120,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
121,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
122,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
123,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
124,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
125,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
126,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
127,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
128,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
129,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
130,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
131,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
132,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
133,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
134,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
135,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
136,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
137,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
138,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
139,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
140,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
141,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
142,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
143,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
144,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
145,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
146,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
147,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
148,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
149,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
150,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
151,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
152,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
153,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
154,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
155,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
156,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
157,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
158,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
159,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
160,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
161,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
162,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
163,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
164,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
165,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
166,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
167,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
168,93.88281879299365,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
