1,91.13698701910423,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 9.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_NUM_PTS - 4.0,DBSCAN_MAX_DIST - 4.111111],}
98,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
99,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
100,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
101,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
102,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
103,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
104,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
105,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
106,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
107,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
108,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
109,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
110,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
111,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
112,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
113,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
114,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
115,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
116,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
117,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
118,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
119,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
120,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
121,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
122,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
123,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
124,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
125,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
126,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
127,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
128,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
129,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
130,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
131,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
132,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
133,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
134,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
135,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
136,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
137,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
138,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
139,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
140,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
141,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
142,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
143,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
144,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
145,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
146,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
147,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
148,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
149,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
150,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
151,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
152,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
153,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
154,94.2260447859778,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 8.222222,DESCRY_DENSITY - 2.0],}
155,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
156,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
157,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
158,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
159,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
160,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
161,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
162,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
163,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
164,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
165,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
166,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
167,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
168,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
169,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
170,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
171,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
172,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
173,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
174,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
175,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
176,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
177,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
178,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
179,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
180,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
181,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
182,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
183,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
184,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
185,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
186,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
187,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
188,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
189,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
190,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
191,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
192,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
193,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
194,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
195,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
196,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
197,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
198,94.52619448496027,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 6.0],}
