COMPRIMENTO	LARGURA	ALTURA	PESO	POTENCIA	RPM	VALOR	ANO
173.5	65.4	53	2455	94	5200	10198	1985
173.5	65.4	53	2290	82	4800	7463	1984
173.5	65.4	53	2455	94	5200	10198	1985
173.5	65.4	53	2290	82	4800	7463	1984
173.5	65.4	53	2455	94	5200	10198	1985
173.6	65.4	54.9	2420	82	4800	8013	1983
173.6	65.4	54.9	2650	111	4800	11694	1982
173.6	65.4	54.9	2420	82	4800	8013	1983
173.6	65.4	54.9	2650	111	4800	11694	1982
173.6	65.4	54.9	2420	82	4800	8013	1983
173.6	65.4	54.9	2650	111	4800	11694	1982
173.6	65.4	54.9	2420	82	4800	8013	1983
173.6	65.4	54.9	2650	111	4800	11694	1982
158.7	63.6	54.5	1985	62	4800	5348	1990
158.7	63.6	54.5	2040	62	4800	6338	1989
158.7	63.6	54.5	1985	62	4800	5348	1990
158.7	63.6	54.5	2040	62	4800	6338	1989
158.7	63.6	54.5	1985	62	4800	5348	1990
158.7	63.6	54.5	2040	62	4800	6338	1989
158.7	63.6	54.5	1985	62	4800	5348	1990
158.7	63.6	54.5	2040	62	4800	6338	1989
158.7	63.6	54.5	2015	62	4800	6488	1984
158.7	63.6	54.5	2015	62	4800	6488	1984
158.7	63.6	54.5	2015	62	4800	6488	1984
158.7	63.6	54.5	2015	62	4800	6488	1984
166.3	64.4	53	2081	70	4800	6938	1981
166.3	64.4	52.8	2109	70	4800	7198	1985
166.3	64.4	53	2275	56	4500	7898	1990
166.3	64.4	52.8	2275	56	4500	7788	1980
166.3	64.4	53	2094	70	4800	7738	1982
166.3	64.4	52.8	2122	70	4800	8358	1987
166.3	64.4	52.8	2140	70	4800	9258	1989
166.3	64.4	53	2081	70	4800	6938	1981
166.3	64.4	52.8	2109	70	4800	7198	1985
166.3	64.4	53	2275	56	4500	7898	1990
166.3	64.4	52.8	2275	56	4500	7788	1980
166.3	64.4	53	2094	70	4800	7738	1982
166.3	64.4	52.8	2122	70	4800	8358	1987
166.3	64.4	52.8	2140	70	4800	9258	1989
166.3	64.4	53	2081	70	4800	6938	1981
166.3	64.4	52.8	2109	70	4800	7198	1985
166.3	64.4	53	2275	56	4500	7898	1990
166.3	64.4	52.8	2275	56	4500	7788	1980
166.3	64.4	53	2094	70	4800	7738	1982
166.3	64.4	52.8	2122	70	4800	8358	1987
166.3	64.4	52.8	2140	70	4800	9258	1989
166.3	64.4	53	2081	70	4800	6938	1981
166.3	64.4	52.8	2109	70	4800	7198	1985
166.3	64.4	53	2275	56	4500	7898	1990
166.3	64.4	52.8	2275	56	4500	7788	1980
166.3	64.4	53	2094	70	4800	7738	1982
166.3	64.4	52.8	2122	70	4800	8358	1987
166.3	64.4	52.8	2140	70	4800	9258	1989
168.7	64	52.6	2169	70	4800	8058	1986
168.7	64	52.6	2204	70	4800	8238	1988
168.7	64	52.6	2265	112	6600	9298	1983
168.7	64	52.6	2300	112	6600	9538	1988
168.7	64	52.6	2169	70	4800	8058	1986
168.7	64	52.6	2204	70	4800	8238	1988
168.7	64	52.6	2265	112	6600	9298	1983
168.7	64	52.6	2300	112	6600	9538	1988
168.7	64	52.6	2169	70	4800	8058	1986
168.7	64	52.6	2204	70	4800	8238	1988
168.7	64	52.6	2265	112	6600	9298	1983
168.7	64	52.6	2300	112	6600	9538	1988
168.7	64	52.6	2169	70	4800	8058	1986
168.7	64	52.6	2204	70	4800	8238	1988
168.7	64	52.6	2265	112	6600	9298	1983
168.7	64	52.6	2300	112	6600	9538	1988
169.7	63.6	59.1	2280	62	4800	6918	1989
169.7	63.6	59.1	2290	62	4800	7898	1982
169.7	63.6	59.1	3110	62	4800	8778	1986
169.7	63.6	59.1	2280	62	4800	6918	1989
169.7	63.6	59.1	2290	62	4800	7898	1982
169.7	63.6	59.1	3110	62	4800	8778	1986
169.7	63.6	59.1	2280	62	4800	6918	1989
169.7	63.6	59.1	2290	62	4800	7898	1982
169.7	63.6	59.1	3110	62	4800	8778	1986
169.7	63.6	59.1	2280	62	4800	6918	1989
169.7	63.6	59.1	2290	62	4800	7898	1982
169.7	63.6	59.1	3110	62	4800	8778	1986
175.6	66.5	54.9	2326	92	4200	8948	1985
175.6	66.5	54.9	2480	73	4500	10698	1982
175.6	66.5	53.9	2414	92	4200	9988	1988
175.6	66.5	54.9	2414	92	4200	10898	1989
175.6	66.5	53.9	2458	92	4200	11248	1981
175.6	66.5	54.9	2326	92	4200	8948	1985
175.6	66.5	54.9	2480	73	4500	10698	1982
175.6	66.5	53.9	2414	92	4200	9988	1988
175.6	66.5	54.9	2414	92	4200	10898	1989
175.6	66.5	53.9	2458	92	4200	11248	1981
175.6	66.5	54.9	2326	92	4200	8948	1985
175.6	66.5	54.9	2480	73	4500	10698	1982
175.6	66.5	53.9	2414	92	4200	9988	1988
175.6	66.5	54.9	2414	92	4200	10898	1989
175.6	66.5	53.9	2458	92	4200	11248	1981
175.6	66.5	54.9	2326	92	4200	8948	1985
175.6	66.5	54.9	2480	73	4500	10698	1982
175.6	66.5	53.9	2414	92	4200	9988	1988
175.6	66.5	54.9	2414	92	4200	10898	1989
175.6	66.5	53.9	2458	92	4200	11248	1981
176.2	65.6	52	2551	116	4800	9989	1988
176.2	65.6	52	2714	116	4800	11549	1984
176.2	65.6	53	2975	116	4800	17669	1986
176.2	65.6	52	2551	116	4800	9989	1988
176.2	65.6	52	2714	116	4800	11549	1984
176.2	65.6	53	2975	116	4800	17669	1986
176.2	65.6	52	2551	116	4800	9989	1988
176.2	65.6	52	2714	116	4800	11549	1984
176.2	65.6	53	2975	116	4800	17669	1986
176.2	65.6	52	2551	116	4800	9989	1988
176.2	65.6	52	2714	116	4800	11549	1984
176.2	65.6	53	2975	116	4800	17669	1986
183.5	67.7	52	2976	161	5200	16558	1989
183.5	67.7	52	3016	161	5200	15998	1984
183.5	67.7	52	2976	161	5200	16558	1989
183.5	67.7	52	3016	161	5200	15998	1984
183.5	67.7	52	2976	161	5200	16558	1989
183.5	67.7	52	3016	161	5200	15998	1984
183.5	67.7	52	2976	161	5200	16558	1989
183.5	67.7	52	3016	161	5200	15998	1984
187.8	66.5	54.1	3131	156	5200	15690	1982
187.8	66.5	54.1	3151	156	5200	15750	1981
187.8	66.5	54.1	3131	156	5200	15690	1982
187.8	66.5	54.1	3151	156	5200	15750	1981
187.8	66.5	54.1	3131	156	5200	15690	1982
187.8	66.5	54.1	3151	156	5200	15750	1981
187.8	66.5	54.1	3131	156	5200	15690	1982
187.8	66.5	54.1	3151	156	5200	15750	1981
159.3	64.2	55.6	2254	90	5500	11595	1980
159.3	64.2	55.6	2254	90	5500	11595	1980
159.3	64.2	55.6	2254	90	5500	11595	1980
159.3	64.2	55.6	2254	90	5500	11595	1980
165.7	64	51.4	2221	90	5500	9980	1985
165.7	64	51.4	2221	90	5500	9980	1985
165.7	64	51.4	2221	90	5500	9980	1985
165.7	64	51.4	2221	90	5500	9980	1985
171.7	65.5	55.7	2261	52	4800	7775	1988
171.7	65.5	55.7	2209	85	5250	7975	1983
171.7	65.5	55.7	2261	52	4800	7775	1988
171.7	65.5	55.7	2209	85	5250	7975	1983
171.7	65.5	55.7	2261	52	4800	7775	1988
171.7	65.5	55.7	2209	85	5250	7975	1983
171.7	65.5	55.7	2261	52	4800	7775	1988
171.7	65.5	55.7	2209	85	5250	7975	1983
171.7	65.5	55.7	2264	52	4800	7995	1982
171.7	65.5	55.7	2212	85	5250	8195	1985
171.7	65.5	55.7	2275	85	5250	8495	1984
171.7	65.5	55.7	2319	68	4500	9495	1985
171.7	65.5	55.7	2300	100	5500	9995	1983
171.7	65.5	55.7	2264	52	4800	7995	1982
171.7	65.5	55.7	2212	85	5250	8195	1985
171.7	65.5	55.7	2275	85	5250	8495	1984
171.7	65.5	55.7	2319	68	4500	9495	1985
171.7	65.5	55.7	2300	100	5500	9995	1983
171.7	65.5	55.7	2264	52	4800	7995	1982
171.7	65.5	55.7	2212	85	5250	8195	1985
171.7	65.5	55.7	2275	85	5250	8495	1984
171.7	65.5	55.7	2319	68	4500	9495	1985
171.7	65.5	55.7	2300	100	5500	9995	1983
171.7	65.5	55.7	2264	52	4800	7995	1982
171.7	65.5	55.7	2212	85	5250	8195	1985
171.7	65.5	55.7	2275	85	5250	8495	1984
171.7	65.5	55.7	2319	68	4500	9495	1985
171.7	65.5	55.7	2300	100	5500	9995	1983
180.2	66.9	55.1	2661	110	5500	13295	1989
180.2	66.9	55.1	2579	68	4500	13845	1982
180.2	66.9	55.1	2661	110	5500	13295	1989
180.2	66.9	55.1	2579	68	4500	13845	1982
180.2	66.9	55.1	2661	110	5500	13295	1989
180.2	66.9	55.1	2579	68	4500	13845	1982
180.2	66.9	55.1	2661	110	5500	13295	1989
180.2	66.9	55.1	2579	68	4500	13845	1982
183.1	66.9	55.1	2563	88	5500	12290	1985
183.1	66.9	55.1	2563	88	5500	12290	1985
183.1	66.9	55.1	2563	88	5500	12290	1985
183.1	66.9	55.1	2563	88	5500	12290	1985
188.8	67.2	56.2	2912	114	5400	12940	1988
188.8	67.2	57.5	3034	114	5400	13415	1988
188.8	67.2	56.2	2935	114	5400	15985	1986
188.8	67.2	57.5	3042	114	5400	16515	1981
188.8	67.2	56.2	3045	162	5100	18420	1982
188.8	67.2	57.5	3157	162	5100	18950	1988
188.8	68.9	55.5	2952	114	5400	16845	1982
188.8	68.8	55.5	3049	160	5300	19045	1981
188.8	68.9	55.5	3012	134	5500	21485	1988
188.8	68.9	55.5	3217	106	4800	22470	1988
188.8	68.9	55.5	3062	114	5400	22625	1983
188.8	67.2	56.2	2912	114	5400	12940	1988
188.8	67.2	57.5	3034	114	5400	13415	1988
188.8	67.2	56.2	2935	114	5400	15985	1986
188.8	67.2	57.5	3042	114	5400	16515	1981
188.8	67.2	56.2	3045	162	5100	18420	1982
188.8	67.2	57.5	3157	162	5100	18950	1988
188.8	68.9	55.5	2952	114	5400	16845	1982
188.8	68.8	55.5	3049	160	5300	19045	1981
188.8	68.9	55.5	3012	134	5500	21485	1988
188.8	68.9	55.5	3217	106	4800	22470	1988
188.8	68.9	55.5	3062	114	5400	22625	1983
188.8	67.2	56.2	2912	114	5400	12940	1988
188.8	67.2	57.5	3034	114	5400	13415	1988
188.8	67.2	56.2	2935	114	5400	15985	1986
188.8	67.2	57.5	3042	114	5400	16515	1981
188.8	67.2	56.2	3045	162	5100	18420	1982
188.8	67.2	57.5	3157	162	5100	18950	1988
188.8	68.9	55.5	2952	114	5400	16845	1982
188.8	68.8	55.5	3049	160	5300	19045	1981
188.8	68.9	55.5	3012	134	5500	21485	1988
188.8	68.9	55.5	3217	106	4800	22470	1988
188.8	68.9	55.5	3062	114	5400	22625	1983
188.8	67.2	56.2	2912	114	5400	12940	1988
188.8	67.2	57.5	3034	114	5400	13415	1988
188.8	67.2	56.2	2935	114	5400	15985	1986
188.8	67.2	57.5	3042	114	5400	16515	1981
188.8	67.2	56.2	3045	162	5100	18420	1982
188.8	67.2	57.5	3157	162	5100	18950	1988
188.8	68.9	55.5	2952	114	5400	16845	1982
188.8	68.8	55.5	3049	160	5300	19045	1981
188.8	68.9	55.5	3012	134	5500	21485	1988
188.8	68.9	55.5	3217	106	4800	22470	1988
188.8	68.9	55.5	3062	114	5400	22625	1983
